"","Response","Org, Chi","P","","P adj","","L. compo, Chi","P","","P adj","","L. config, Chi","P","","P adj","","Org: compo, Chi","P","","P adj","","Org: config, Chi","P","","P adj",""
"MB_MeanScMax","MB_MeanScMax",10.5275738425302,0.00117606504281816,"*",0.00840046459155831,"*",0.000511148033263913,0.981962497193678,"",0.991021817731585,"",1.85402327187458,0.17331618816683,"",0.780292516624812,"",0.477526577135092,0.489544816738818,"",0.997932240113391,"",0.455449376520913,0.499758428118706,"",0.884067585440839,""
"MB_MeanZscore","MB_MeanZscore",11.736387226975,0.00061289883155051,"*",0.00693002152967248,"*",0.00860489025617764,0.926092205278527,"",0.991021817731585,"",1.97616672067745,0.159794817884041,"",0.780292516624812,"",0.550618828248794,0.458064951457081,"",0.997932240113391,"",0.476169954453987,0.490162310968457,"",0.884067585440839,""
"BirdRichness","BirdRichness",2.75978943514677,0.09666095904203,"",0.19332191808406,"*",1.19977401442912,0.273366850201754,"",0.97631017929198,"",0.15188718846362,0.696738377815713,"",0.99929374296216,"",1.04815119315077,0.305933268201318,"",0.99763835801647,"",2.02996523278571,0.154224135328294,"",0.845034293031259,""
"ButtRichness","ButtRichness",3.82503835797038,0.0504921921864543,"",0.126230480466136,"*",4.89858491959744,0.0268787124330485,"*",0.334029734807837,"",0.626631666570931,0.428593539257622,"",0.99929374296216,"",2.40623838557347,0.120852453611748,"",0.687391907681754,"",0.411965409429858,0.520973623130864,"",0.884067585440839,""
"EwormRichness","EwormRichness",3.39349488648705,0.0654540745291711,"",0.148759260293571,"*",0.778733026282855,0.377528905651072,"",0.982116060598246,"",0.442449591245064,0.505942505499538,"",0.99929374296216,"",1.97046055962761,0.160398984646558,"",0.80199492323279,"",7.50854531048205,0.006140694674724,"*",0.1535173668681,"*"
"MicrobeRichness","MicrobeRichness",1.16612641062964,0.280198590705324,"",0.380765777225043,"",2.84612606527881,0.0915944012410221,"",0.53013741816109,"",1.4453903798396,0.229269047691941,"",0.881804029584389,"",0.0272140248460721,0.868970162070179,"",0.998688556934917,"",0.320150722733656,0.571517080195945,"",0.892995437806164,""
"PlantRichness","PlantRichness",1.43647739002081,0.230710226970187,"",0.339279745544392,"",0.699384441067863,0.402990608287557,"",0.982116060598246,"",1.73896356112859,0.187270203989955,"",0.780292516624812,"",2.99106412782096,0.0837251328843217,"",0.598036663459441,"",2.85323841941043,0.0911900813963569,"",0.845034293031259,""
"BeeRichness","BeeRichness",0.142470578524511,0.705837171923534,"",0.767214317308189,"",0.364733509778696,0.545889045774463,"",0.982116060598246,"",0.181102758283904,0.670427255369981,"",0.99929374296216,"",0.0162676703012155,0.898509235121695,"",0.998688556934917,"",0.980747150311294,0.322014416381901,"",0.884067585440839,""
"SyrphidRichness","SyrphidRichness",1.6376662985534,0.200645962184938,"",0.306120589316237,"",5.4932467002009,0.0190900607934994,"*",0.318167679891657,"",0.0270398345826832,0.869386401916477,"",0.99929374296216,"",1.00215929493849,0.316788585194794,"",0.99763835801647,"",1.70325795525259,0.191862458205162,"",0.845034293031259,""
"SpiderRichness","SpiderRichness",12.9081280594247,0.000327158322736464,"*",0.0054526387122744,"*",0.00481923471368962,0.944654745997906,"",0.991021817731585,"",3.22858046218388,0.0723633893173724,"",0.780292516624812,"",0.713075027405354,0.39842486356002,"",0.997932240113391,"",0.163294850620332,0.68614096768908,"",0.926240824198348,""
"CarabRichness","CarabRichness",4.17976601169041,0.0409093484437297,"*",0.107656180115078,"*",0.241760527737018,0.622937450524562,"",0.982116060598246,"",0.321773239413876,0.570543936744742,"",0.99929374296216,"",3.18840478852622,0.0741623487550415,"",0.598036663459441,"",0.576091258249231,0.447848514342935,"",0.884067585440839,""
"CollemboRichness","CollemboRichness",1.62756922388789,0.202039588948717,"",0.306120589316237,"",1.36500678408962,0.242671643386944,"",0.933352474565169,"",0.689682586434558,0.406272365811332,"",0.99929374296216,"",0.00213321962141118,0.963161370852732,"",0.998688556934917,"",0.855898621513106,0.354888984211223,"",0.884067585440839,""
"SpiderFoliageRichness","SpiderFoliageRichness",6.7234380618334,0.009515402355878,"*",0.0396475098161583,"*",0.073933897752967,0.785692848478597,"",0.982116060598246,"",1.1615482440322,0.281144679547114,"",0.99929374296216,"",4.03482186150073,0.0445703805756655,"*",0.445703805756655,"",1.01010393792422,0.314877939992184,"",0.884067585440839,""
"ColeopteraFoliageRichness","ColeopteraFoliageRichness",6.30420723907566,0.0120451765474481,"*",0.0463276021055698,"*",0.361338184411087,0.547763979853083,"",0.982116060598246,"",0.873455274694909,0.35000051530717,"",0.99929374296216,"",4.69043808669349,0.0303309133713431,"*",0.379136417141788,"",9.47636997989705,0.00208135396598394,"*",0.104067698299197,"*"
"HemipteraFoliageRichness","HemipteraFoliageRichness",11.1693388183567,0.000831602583560697,"*",0.00693002152967248,"*",0.173778210556409,0.676775591564039,"",0.982116060598246,"",0.542888812465462,0.461237968623756,"",0.99929374296216,"",0.0106988568351707,0.917617514112833,"",0.998688556934917,"",0.012543178678635,0.910826313862219,"",0.948777410273145,""
"HeteropteraFoliageRichness","HeteropteraFoliageRichness",1.77690210660954,0.182530190477196,"",0.304216984128661,"",0.566762857149728,0.451548145738836,"",0.982116060598246,"",0.0431112477175393,0.835515939813354,"",0.99929374296216,"",0.15414255918294,0.694607602317921,"",0.998688556934917,"",2.52556635077796,0.112014556935631,"",0.845034293031259,""
"MA_MeanScMax","MA_MeanScMax",2.35246671871736,0.125084937679171,"",0.225776826987288,"",0.0114334176919837,0.914846765603943,"",0.991021817731585,"",2.19997264323796,0.138013186878957,"",0.780292516624812,"",2.8037203582018e-06,0.998663997699067,"",0.998688556934917,"",0.105157729213983,0.745725813897888,"",0.926240824198348,""
"MA_MeanZscore","MA_MeanZscore",2.91719767201711,0.0876399453816742,"",0.182583219545155,"*",0.110994838098239,0.739014357102642,"",0.982116060598246,"",2.1927734847013,0.13865944050324,"",0.780292516624812,"",0.00110390964072445,0.97349505381374,"",0.998688556934917,"",0.0666725605968543,0.796244606805467,"",0.926240824198348,""
"BirdAbundance","BirdAbundance",0.545466568399946,0.460175991270121,"",0.533624230901995,"",3.85105868645398,0.0497146011498656,"*",0.414288342915547,"",0.067492416836194,0.795023430040842,"",0.99929374296216,"",1.22869585267691,0.267660813656776,"",0.99763835801647,"",1.24109458273326,0.265260205282892,"",0.884067585440839,""
"ButtAbundance","ButtAbundance",3.04877165998805,0.080798231025941,"",0.175648328317263,"*",6.25461326773477,0.0123870287870853,"*",0.309675719677132,"",0.416464396478215,0.518706534703226,"",0.99929374296216,"",0.302698651457038,0.582195534062075,"",0.997932240113391,"",0.775066085343974,0.378654366699985,"",0.884067585440839,""
"EwormAbundance","EwormAbundance",3.52507782480327,0.0604469873730662,"",0.143921398507301,"*",1.59271238497666,0.206939037354704,"",0.862245988977932,"",1.87199984646069,0.171246210274568,"",0.780292516624812,"",0.170533974423749,0.679637683133954,"",0.998688556934917,"",0.0859614813569222,0.76937548661276,"",0.926240824198348,""
"MicrobeAbundance","MicrobeAbundance",9.03544238971634,0.00264794967161786,"*",0.0165496854476116,"*",2.53404028481001,0.111414610207743,"",0.53013741816109,"",0.20150792469257,0.653506435933203,"",0.99929374296216,"",0.268190837700797,0.604547963482215,"",0.997932240113391,"",0.0318978303935571,0.85825207941262,"",0.926240824198348,""
"BeeAbundance","BeeAbundance",0.108396906455448,0.741976668341998,"",0.789336881214891,"",0.0108515166287487,0.917033954434962,"",0.991021817731585,"",0.00209915295376496,0.963456496375636,"",0.99929374296216,"",1.14921656297217,0.28371321047182,"",0.99763835801647,"",0.794810256782565,0.372649561250264,"",0.884067585440839,""
"SyrphidAbundance","SyrphidAbundance",0.000679975774536097,0.979196444509895,"",0.984517951574814,"",11.1717175535377,0.000830537043058161,"*",0.0415268521529081,"*",0.0269113438666291,0.869694322686468,"",0.99929374296216,"",0.0285219369490974,0.865887578351026,"",0.998688556934917,"",0.152942494588488,0.695739116316726,"",0.926240824198348,""
"SpiderAbundance","SpiderAbundance",11.2166222214701,0.000810679136051252,"*",0.00693002152967248,"*",0.622686568824979,0.430050688803656,"",0.982116060598246,"",0.64310869714931,0.422587329711675,"",0.99929374296216,"",0.963343588067103,0.326345898431856,"",0.99763835801647,"",5.60619812389299,0.0178970527534803,"*",0.298284212558005,""
"CarabAbundance","CarabAbundance",1.66407954548648,0.197053410796069,"",0.306120589316237,"",0.257241790762352,0.612021445390259,"",0.982116060598246,"",0.188983017242911,0.663764394584965,"",0.99929374296216,"",0.121878519371742,0.727005947469801,"",0.998688556934917,"",0.028632976574047,0.865629250663163,"",0.926240824198348,""
"CollemboAbundance","CollemboAbundance",0.885231503143255,0.346772805111737,"",0.433466006389672,"",0.0780680929559981,0.779932745070713,"",0.982116060598246,"",0.289260879476987,0.590694565791712,"",0.99929374296216,"",0.0442218655851159,0.833441373997792,"",0.998688556934917,"",1.54822993383111,0.213396940909126,"",0.845034293031259,""
"SpiderFoliageAbundance","SpiderFoliageAbundance",1.15854896761979,0.281766675146532,"",0.380765777225043,"",0.000126623712726754,0.991021817731585,"",0.991021817731585,"",0.680361499858336,0.409462270750495,"",0.99929374296216,"",0.68651119918456,0.407353592276974,"",0.997932240113391,"",2.45902487647729,0.116851303949845,"",0.845034293031259,""
"ColeopteraFoliageAbundance","ColeopteraFoliageAbundance",2.33573841676947,0.126435023112881,"",0.225776826987288,"",0.0786922126861944,0.779077568491586,"",0.982116060598246,"",2.48559538744411,0.114892862830867,"",0.780292516624812,"",0.0179799661308683,0.893331884651199,"",0.998688556934917,"",1.62429742849834,0.20249361216693,"",0.845034293031259,""
"HemipteraFoliageAbundance","HemipteraFoliageAbundance",5.02919113276709,0.024923535884986,"*",0.0733045173087825,"*",0.219959709591949,0.639070619352846,"",0.982116060598246,"",0.850125080223794,0.356516955591011,"",0.99929374296216,"",0.344916914971215,0.557004742251261,"",0.997932240113391,"",0.179343873913565,0.671937712256183,"",0.926240824198348,""
"HeteropteraFoliageAbundance","HeteropteraFoliageAbundance",1.89375411835929,0.168779101318166,"",0.290998450548562,"",0.422548467131034,0.515668140219244,"",0.982116060598246,"",0.00131861514300325,0.971032990966661,"",0.99929374296216,"",0.00875214960404304,0.9254643066711,"",0.998688556934917,"",0.00161050257353767,0.967988633512983,"",0.983355693216343,""
"PlantCover","PlantCover",0.596814610761005,0.439795983820738,"",0.533624230901995,"",2.7386463091112,0.0979477082386006,"",0.53013741816109,"",0.0822610968404422,0.774256309509781,"",0.99929374296216,"",0.0731047597083397,0.786868756727232,"",0.998688556934917,"",0.0646822913850487,0.799242838458005,"",0.926240824198348,""
"EMF_Production","EMF_Production",7.3264377771103,0.00679475871104696,"*",0.0339737935552348,"*",0.842611331360442,0.358650995213579,"",0.982116060598246,"",0.050145320149641,0.822810598598541,"",0.99929374296216,"",1.65136805306919,0.198772834002352,"",0.903512881828875,"",0.030963441418926,0.860321974635386,"",0.926240824198348,""
"EMF_Soil","EMF_Soil",1.00241091830506,0.316727838598049,"",0.416747156050065,"",0.644897999159434,0.42194270601397,"",0.982116060598246,"",0.00846395729257493,0.926698224004505,"",0.99929374296216,"",0.0940566691328901,0.75908193208961,"",0.998688556934917,"",0.534513881137614,0.464715287789757,"",0.884067585440839,""
"EMF_Regulation","EMF_Regulation",7.65080026817133,0.00567471422784196,"*",0.0315261901546775,"*",0.109159661769397,0.741102884479058,"",0.982116060598246,"",0.056158976526228,0.812673196287525,"",0.99929374296216,"",6.26266440118332,0.0123308617648116,"*",0.231762423305487,"",0.770821820621331,0.379962935563844,"",0.884067585440839,""
"EMF_MeanScMax","EMF_MeanScMax",0.195892108932148,0.658057251398316,"",0.731174723775906,"",0.181251982809955,0.67029950677212,"",0.982116060598246,"",0.105083596540252,0.745812360302307,"",0.99929374296216,"",2.7015881950448e-06,0.998688556934917,"",0.998688556934917,"",0.0297626371567364,0.863029908677612,"",0.926240824198348,""
"YieldRealised_hlperha","YieldRealised_hlperha",4.21262798609447,0.0401241286659358,"*",0.107656180115078,"*",0.939880141007336,0.332308668227483,"",0.982116060598246,"",0.0197538431170306,0.888226741346617,"",0.99929374296216,"",0.407013577895102,0.523489200441539,"",0.997932240113391,"",0.0265077824800778,0.870666374746447,"",0.926240824198348,""
"Ntester","Ntester",6.88547722940058,0.0086898863624455,"*",0.0394994834656614,"*",0.151020677672412,0.697561864255861,"",0.982116060598246,"",1.87306191633113,0.171124806060862,"",0.780292516624812,"",6.05007002618335,0.0139057453983292,"*",0.231762423305487,"",0.0671438566892199,0.795541638126953,"",0.926240824198348,""
"SoilC","SoilC",0.0750122461867128,0.784174047342419,"",0.816847965981687,"",0.148180268999002,0.700280459164465,"",0.982116060598246,"",0.000883580307649522,0.976286310793447,"",0.99929374296216,"",0.840863910367242,0.359149808885929,"",0.99763835801647,"",0.360692476753938,0.54812190297332,"",0.884067585440839,""
"SoilN","SoilN",0.908269111139395,0.340574091933016,"",0.433466006389672,"",0.332083344362538,0.564434906934842,"",0.982116060598246,"",7.83511847133603e-07,0.99929374296216,"",0.99929374296216,"",0.132452903656883,0.71590221912079,"",0.998688556934917,"",1.61244118552427,0.204148985902839,"",0.845034293031259,""
